timestamp,market-cap-value,market-cap-USD,price-per-ether
1471392000,83080152.53125,893.1116397109375,10.75
1471478400,83112941.59375,891.8018633009375,10.73
1471564800,83144783.00000,890.48062593,10.71
1471651200,83177018.62500,937.40499990375,11.27
1471737600,83209710.96875,926.956180191875,11.14
1471824000,83242003.78125,923.1538219340625,11.09
1471910400,83274187.68750,916.0160645625,11.00
1471996800,83306461.12500,916.371072375,11.00
1472083200,83338596.75000,946.72645908,11.36
1472169600,83370468.15625,938.751471439375,11.26
1472256000,83402774.56250,933.277047354375,11.19
1472342400,83434802.53125,915.2797837678125,10.97
1472428800,83466728.93750,913.960681865625,10.95
1472515200,83498603.78125,937.6893204634375,11.23
1472601600,83530738.31250,968.121257041875,11.59
1472688000,83562483.00000,1020.29791743,12.21
1472774400,83594867.06250,1010.661942785625,12.09
1472860800,83626363.00000,995.98998333,11.91
1472947200,83658227.06250,980.4744211725,11.72
1473033600,83690416.75000,987.54691765,11.80
1473120000,83722098.15625,981.22299039125,11.72
1473206400,83754365.96875,971.5506452375,11.60
1473292800,83786274.56250,956.001392758125,11.41
1473379200,83818491.43750,980.67634981875,11.70
1473465600,83850322.06250,1012.911890515,12.08
1473552000,83882675.03125,977.2331641140625,11.65
1473638400,83914912.06250,1001.104900905625,11.93
1473724800,83946816.90625,1005.682866536875,11.98
1473811200,83979345.65625,1001.8735936790625,11.93
1473897600,84011528.46875,1007.2982263403125,11.99
1473984000,84043767.53125,1062.313221595,12.64
1474070400,84075922.53125,1077.853326850625,12.82
1474156800,84105496.43750,1037.020771074375,12.33
1474243200,84139773.31250,1087.0858711975,12.92
1474329600,84172265.81250,1230.59852617875,14.62
1474416000,84204349.56250,1156.125719493125,13.73
1474502400,84235955.18750,1106.018091611875,13.13
1474588800,84270235.18750,1125.007639753125,13.35
1474675200,84303560.03125,1087.515924403125,12.90
1474761600,84337950.50000,1100.610254025,13.05
1474848000,84370081.28125,1090.9051509665625,12.93
1474934400,84405365.65625,1104.02218278375,13.08
1475020800,84437769.09375,1123.022328946875,13.30
1475107200,84470082.53125,1109.936884460625,13.14
1475193600,84501705.81250,1120.49261907375,13.26
1475280000,84536184.40625,1118.4137196946875,13.23
1475366400,84571945.18750,1118.04111537875,13.22
1475452800,84605219.71875,1137.9402052171875,13.45
1475539200,84637271.12500,1126.52207867375,13.31
1475625600,84670352.68750,1108.334916679375,13.09
1475712000,84703194.56250,1089.28308207375,12.86
1475798400,84739746.43750,1074.4999848275,12.68
1475884800,84775841.12500,1038.50405378125,12.25
1475971200,84809266.75000,1021.9516643375,12.05
1476057600,84842397.68750,996.04974885125,11.74
1476144000,84874877.21875,998.1285560925,11.76
1476230400,84907969.87500,996.8195663325,11.74
1476316800,84942796.12500,1021.86183738375,12.03
1476403200,84975709.87500,1011.2109475125,11.90
1476489600,85007917.06250,1017.544767238125,11.97
1476576000,85040847.37500,1015.3877176575,11.94
1476662400,85073225.18750,1019.17723774625,11.98
1476748800,85106545.50000,1065.53394966,12.52
1476835200,85139695.18750,1019.97354834625,11.98
1476921600,85174224.25000,1027.201144455,12.06
1477008000,85206351.12500,1028.44065807875,12.07
1477094400,85238053.78125,1031.380450753125,12.10
1477180800,85269385.65625,1021.527240161875,11.98
1477267200,85301447.53125,1018.499283523125,11.94
1477353600,85333112.06250,970.237484150625,11.37
1477440000,85365068.93750,981.69829278125,11.50
