timestamp,total_eth_growth
1486512000,88693080.81250
1486598400,88724508.00000
1486684800,88756004.40625
1486771200,88787594.25000
1486857600,88819163.93750
1486944000,88850898.00000
1487030400,88882368.93750
1487116800,88914090.34375
1487203200,88945630.18750
1487289600,88976958.00000
1487376000,89008169.71875
1487462400,89039436.90625
1487548800,89070824.71875
1487635200,89102241.59375
1487721600,89133228.93750
1487808000,89164458.46875
1487894400,89195722.06250
1487980800,89227275.96875
1488067200,89259096.12500
1488153600,89290342.53125
1488240000,89322198.62500
1488326400,89353343.46875
1488412800,89384974.40625
1488499200,89416273.31250
1488585600,89447445.96875
1488672000,89479007.84375
1488758400,89510160.96875
1488844800,89541229.71875
1488931200,89572555.65625
1489017600,89603365.18750
1489104000,89634392.21875
1489190400,89665627.68750
1489276800,89696477.21875
1489363200,89728090.96875
1489449600,89759305.81250
1489536000,89790683.46875
1489622400,89822111.43750
1489708800,89853953.31250
1489795200,89885435.65625
1489881600,89916430.18750
1489968000,89948100.50000
1490054400,89979116.90625
1490140800,90010489.25000
1490227200,90041470.18750
1490313600,90072311.12500
1490400000,90103373.93750
1490486400,90134549.40625
1490572800,90165551.59375
1490659200,90196107.06250
1490745600,90227375.34375
1490832000,90258195.18750
1490918400,90289403.46875
1491004800,90320254.40625
1491091200,90350695.18750
1491177600,90381881.43750
1491264000,90412936.75000
1491350400,90444172.06250
1491436800,90474896.43750
1491523200,90505970.96875
1491609600,90536886.59375
1491696000,90567128.62500
1491782400,90597165.81250
1491868800,90627616.28125
1491955200,90657833.31250
1492041600,90688173.15625
1492128000,90719162.84375
1492214400,90749160.96875
1492300800,90779668.15625
1492387200,90810315.65625
1492473600,90840832.37500
1492560000,90870444.56250
1492646400,90900866.75000
1492732800,90931344.09375
1492819200,90961334.40625
1492905600,90991825.65625
1492992000,91021611.12500
1493078400,91052368.93750
1493164800,91081701.12500
1493251200,91111031.12500
1493337600,91140713.15625
1493424000,91169930.81250
1493510400,91199299.40625
1493596800,91228656.90625
1493683200,91258093.31250
1493769600,91287645.96875
1493856000,91317072.53125
