timestamp,transactions
1485820800,43649
1485907200,44541
1485993600,43709
1486080000,42778
1486166400,45410
1486252800,46542
1486339200,47306
1486425600,51866
1486512000,51089
1486598400,47873
1486684800,52222
1486771200,46560
1486857600,45319
1486944000,55990
1487030400,58298
1487116800,55320
1487203200,49674
1487289600,49406
1487376000,49398
1487462400,48227
1487548800,50152
1487635200,58434
1487721600,50372
1487808000,47601
1487894400,54081
1487980800,53245
1488067200,51716
1488153600,52642
1488240000,60277
1488326400,59774
1488412800,70779
1488499200,64294
1488585600,58756
1488672000,57031
1488758400,57020
1488844800,62589
1488931200,55386
1489017600,64266
1489104000,65132
1489190400,64803
1489276800,66646
1489363200,81718
1489449600,77155
1489536000,81205
1489622400,109950
1489708800,106635
1489795200,89920
1489881600,84599
1489968000,80264
1490054400,84298
1490140800,78821
1490227200,82434
1490313600,87775
1490400000,84394
1490486400,79534
1490572800,94570
1490659200,84348
1490745600,93064
1490832000,96209
1490918400,103102
1491004800,80572
1491091200,88948
1491177600,100221
1491264000,86279
1491350400,87411
1491436800,95177
1491523200,92846
1491609600,72144
1491696000,74557
1491782400,75487
1491868800,75891
1491955200,80347
1492041600,84124
1492128000,81155
1492214400,74820
1492300800,70634
1492387200,72546
1492473600,83303
1492560000,85734
1492646400,85450
1492732800,81278
1492819200,73539
1492905600,77073
1492992000,80531
1493078400,93033
1493164800,89642
1493251200,104494
1493337600,106193
1493424000,91335
1493510400,95202
1493596800,112202
1493683200,110354
1493769600,97334
1493856000,114877
